date,day,month,altitude,depth,probability
01.jan,1,1,50,6.19,0.310344828
01.jan,1,1,150,10.79473684,0.517241379
01.jan,1,1,250,16.93411765,0.793103448
01.jan,1,1,350,27.86272727,0.931034483
01.jan,1,1,450,30.42419355,0.931034483
01.jan,1,1,550,33.76666667,0.931034483
02.jan,2,1,50,6.082,0.310344828
02.jan,2,1,150,11.3518797,0.517241379
02.jan,2,1,250,18.71647059,0.793103448
02.jan,2,1,350,30.71636364,0.931034483
02.jan,2,1,450,35.12741935,0.931034483
02.jan,2,1,550,35.66666667,0.931034483
03.jan,3,1,50,5.996,0.310344828
03.jan,3,1,150,11.91203008,0.551724138
03.jan,3,1,250,18.43764706,0.793103448
03.jan,3,1,350,29.05727273,0.896551724
03.jan,3,1,450,33.51129032,0.931034483
03.jan,3,1,550,34.76666667,0.931034483
04.jan,4,1,50,4.892,0.310344828
04.jan,4,1,150,11.00902256,0.517241379
04.jan,4,1,250,18.11058824,0.793103448
04.jan,4,1,350,28.46181818,0.896551724
04.jan,4,1,450,33.20645161,0.896551724
04.jan,4,1,550,38.03333333,0.931034483
05.jan,5,1,50,5.564,0.344827586
05.jan,5,1,150,11.00451128,0.551724138
05.jan,5,1,250,17.73882353,0.793103448
05.jan,5,1,350,29.14090909,0.896551724
05.jan,5,1,450,33.90322581,0.896551724
05.jan,5,1,550,38.16666667,0.931034483
06.jan,6,1,50,7.54,0.275862069
06.jan,6,1,150,12.97669173,0.551724138
06.jan,6,1,250,19.99058824,0.862068966
06.jan,6,1,350,33.39090909,0.896551724
06.jan,6,1,450,36.73548387,0.896551724
06.jan,6,1,550,37.68333333,0.931034483
07.jan,7,1,50,6.872,0.310344828
07.jan,7,1,150,12.9481203,0.620689655
07.jan,7,1,250,20.07176471,0.827586207
07.jan,7,1,350,35.13272727,0.896551724
07.jan,7,1,450,40.93064516,0.931034483
07.jan,7,1,550,44.06666667,0.931034483
08.jan,8,1,50,7.164,0.379310345
08.jan,8,1,150,12.8075188,0.655172414
08.jan,8,1,250,22.55058824,0.827586207
08.jan,8,1,350,36.46636364,0.931034483
08.jan,8,1,450,39.4016129,0.965517241
08.jan,8,1,550,43.83333333,1
09.jan,9,1,50,7.808,0.413793103
09.jan,9,1,150,12.87293233,0.620689655
09.jan,9,1,250,22.07411765,0.793103448
09.jan,9,1,350,35.51636364,0.931034483
09.jan,9,1,450,38.59516129,0.965517241
09.jan,9,1,550,43.58333333,0.965517241
10.jan,10,1,50,7.734,0.344827586
10.jan,10,1,150,12.6406015,0.620689655
10.jan,10,1,250,21.61882353,0.793103448
10.jan,10,1,350,35.46181818,0.931034483
10.jan,10,1,450,38.72580645,0.965517241
10.jan,10,1,550,43.18333333,0.965517241
11.jan,11,1,50,5.952,0.344827586
11.jan,11,1,150,12.3406015,0.551724138
11.jan,11,1,250,19.01529412,0.793103448
11.jan,11,1,350,36.17454545,0.931034483
11.jan,11,1,450,38.35645161,0.965517241
11.jan,11,1,550,43.08333333,0.965517241
12.jan,12,1,50,5.312,0.379310345
12.jan,12,1,150,12.1518797,0.551724138
12.jan,12,1,250,21.15411765,0.793103448
12.jan,12,1,350,37.70636364,0.931034483
12.jan,12,1,450,40.17419355,0.931034483
12.jan,12,1,550,44.28333333,0.965517241
13.jan,13,1,50,6.394,0.379310345
13.jan,13,1,150,12.71654135,0.586206897
13.jan,13,1,250,22.15294118,0.75862069
13.jan,13,1,350,38.90454545,0.931034483
13.jan,13,1,450,41.61774194,0.931034483
13.jan,13,1,550,45.06666667,0.965517241
14.jan,14,1,50,5.112,0.413793103
14.jan,14,1,150,12.54285714,0.586206897
14.jan,14,1,250,24.45294118,0.724137931
14.jan,14,1,350,39.67636364,0.965517241
14.jan,14,1,450,47.72258065,0.965517241
14.jan,14,1,550,51.1,1
15.jan,15,1,50,5.02,0.310344828
15.jan,15,1,150,12.37819549,0.551724138
15.jan,15,1,250,20.26941176,0.689655172
15.jan,15,1,350,38.33181818,0.965517241
15.jan,15,1,450,46.75322581,0.965517241
15.jan,15,1,550,49.33333333,1
16.jan,16,1,50,1.83,0.310344828
16.jan,16,1,150,10.45714286,0.517241379
16.jan,16,1,250,19.49647059,0.689655172
16.jan,16,1,350,37.65363636,0.931034483
16.jan,16,1,450,45.48870968,0.965517241
16.jan,16,1,550,47.91666667,1
17.jan,17,1,50,1.882,0.344827586
17.jan,17,1,150,10.41654135,0.517241379
17.jan,17,1,250,19.30588235,0.655172414
17.jan,17,1,350,37.32181818,0.896551724
17.jan,17,1,450,44.82258065,0.965517241
17.jan,17,1,550,47.35,1
18.jan,18,1,50,4.034,0.344827586
18.jan,18,1,150,10.20676692,0.517241379
18.jan,18,1,250,19.10235294,0.689655172
18.jan,18,1,350,38.09818182,0.896551724
18.jan,18,1,450,43.20645161,0.965517241
18.jan,18,1,550,46.11666667,1
19.jan,19,1,50,5.338,0.379310345
19.jan,19,1,150,12.27067669,0.551724138
19.jan,19,1,250,22.3,0.724137931
19.jan,19,1,350,39.12090909,0.965517241
19.jan,19,1,450,41.98064516,1
19.jan,19,1,550,45.1,1
20.jan,20,1,50,7.69,0.379310345
20.jan,20,1,150,15.44135338,0.586206897
20.jan,20,1,250,25.65647059,0.724137931
20.jan,20,1,350,46.78181818,0.931034483
20.jan,20,1,450,49.75967742,0.965517241
20.jan,20,1,550,51.11666667,1
21.jan,21,1,50,6.308,0.482758621
21.jan,21,1,150,17.31729323,0.586206897
21.jan,21,1,250,27.13176471,0.793103448
21.jan,21,1,350,47.54363636,0.931034483
21.jan,21,1,450,51.26774194,0.965517241
21.jan,21,1,550,53.15,1
22.jan,22,1,50,5.904,0.413793103
22.jan,22,1,150,14.46917293,0.586206897
22.jan,22,1,250,25.78941176,0.793103448
22.jan,22,1,350,46.83181818,0.931034483
22.jan,22,1,450,50.79032258,0.965517241
22.jan,22,1,550,52.71666667,1
23.jan,23,1,50,7.544,0.448275862
23.jan,23,1,150,15.46917293,0.655172414
23.jan,23,1,250,25.74823529,0.793103448
23.jan,23,1,350,47.42090909,0.931034483
23.jan,23,1,450,52.76451613,0.965517241
23.jan,23,1,550,54.1,1
24.jan,24,1,50,9.232,0.482758621
24.jan,24,1,150,15.65639098,0.689655172
24.jan,24,1,250,28.40470588,0.793103448
24.jan,24,1,350,48.26454545,0.931034483
24.jan,24,1,450,55.37741935,0.965517241
24.jan,24,1,550,56.41666667,1
25.jan,25,1,50,8.908,0.448275862
25.jan,25,1,150,17.07744361,0.75862069
25.jan,25,1,250,29.79294118,0.793103448
25.jan,25,1,350,51.49909091,0.931034483
25.jan,25,1,450,55.55,0.965517241
25.jan,25,1,550,56.83333333,1
26.jan,26,1,50,6.602,0.448275862
26.jan,26,1,150,16.52030075,0.689655172
26.jan,26,1,250,28.75058824,0.827586207
26.jan,26,1,350,51.56727273,0.931034483
26.jan,26,1,450,55.72741935,0.965517241
26.jan,26,1,550,56.13333333,1
27.jan,27,1,50,9.488,0.482758621
27.jan,27,1,150,15.60676692,0.689655172
27.jan,27,1,250,27.48588235,0.827586207
27.jan,27,1,350,50.09272727,0.931034483
27.jan,27,1,450,56.55806452,0.965517241
27.jan,27,1,550,56.48333333,1
28.jan,28,1,50,9.398,0.482758621
28.jan,28,1,150,15.25263158,0.689655172
28.jan,28,1,250,27.78,0.827586207
28.jan,28,1,350,49.56,0.931034483
28.jan,28,1,450,57.05,0.931034483
28.jan,28,1,550,56.95,0.965517241
29.jan,29,1,50,9.3,0.482758621
29.jan,29,1,150,16.58947368,0.724137931
29.jan,29,1,250,28.01529412,0.862068966
29.jan,29,1,350,50.04727273,0.931034483
29.jan,29,1,450,55.54032258,0.931034483
29.jan,29,1,550,58.01666667,0.965517241
30.jan,30,1,50,9.214,0.482758621
30.jan,30,1,150,16.11278195,0.724137931
30.jan,30,1,250,28.59529412,0.827586207
30.jan,30,1,350,50.29545455,0.931034483
30.jan,30,1,450,56.67580645,0.931034483
30.jan,30,1,550,58.31666667,0.965517241
31.jan,31,1,50,11.934,0.517241379
31.jan,31,1,150,18.49774436,0.724137931
31.jan,31,1,250,28.81294118,0.827586207
31.jan,31,1,350,50.97,0.931034483
31.jan,31,1,450,57.69516129,0.931034483
31.jan,31,1,550,62.63333333,0.965517241
01.feb,1,2,50,11.222,0.586206897
01.feb,1,2,150,17.59774436,0.655172414
01.feb,1,2,250,28.93294118,0.827586207
01.feb,1,2,350,49.51818182,0.931034483
01.feb,1,2,450,56.02741935,0.931034483
01.feb,1,2,550,60.4,0.965517241
02.feb,2,2,50,11.492,0.586206897
02.feb,2,2,150,18.06466165,0.689655172
